timestamp_ms,latency_ms,ok
1772464745237,52.385,1
1772464745291,55.513,1
1772464745347,51.880,1
1772464745399,52.953,1
1772464745453,52.222,1
1772464745506,61.243,1
1772464745567,52.294,1
1772464745620,51.725,1
1772464745672,51.932,1
1772464745724,53.040,1
1772464745778,54.935,1
1772464745833,53.494,1
1772464745887,52.785,1
1772464745940,53.926,1
1772464745994,52.035,1
1772464746047,53.104,1
1772464746100,52.014,1
1772464746154,54.248,1
1772464746208,52.452,1
1772464746261,52.059,1
1772464746315,52.053,1
1772464746367,52.031,1
1772464746420,52.831,1
1772464746473,53.175,1
1772464746527,52.307,1
1772464746580,52.817,1
1772464746633,54.387,1
1772464746688,52.578,1
1772464746741,52.934,1
1772464746795,51.993,1
1772464746847,52.578,1
1772464746901,52.115,1
1772464746954,52.264,1
1772464747006,52.272,1
1772464747059,51.571,1
1772464747111,60.191,1
1772464747172,54.294,1
1772464747228,53.578,1
1772464747283,52.326,1
1772464747336,52.867,1
1772464747389,52.667,1
1772464747442,53.048,1
1772464747495,53.305,1
1772464747549,54.327,1
1772464747604,54.540,1
1772464747658,53.853,1
1772464747712,52.601,1
1772464747765,53.292,1
1772464747820,53.825,1
1772464747874,52.155,1
1772464747926,52.460,1
1772464747979,53.112,1
1772464748051,54.649,1
1772464748106,52.613,1
1772464748159,51.507,1
1772464748211,52.466,1
1772464748264,52.611,1
1772464748317,52.700,1
1772464748370,52.153,1
1772464748423,54.154,1
1772464748477,53.990,1
1772464748532,55.460,1
1772464748588,53.707,1
1772464748642,54.741,1
1772464748697,53.957,1
1772464748751,53.295,1
1772464748805,52.560,1
1772464748858,53.297,1
1772464748912,53.496,1
1772464748967,52.496,1
1772464749020,54.328,1
1772464749075,52.129,1
1772464749127,53.176,1
1772464749181,54.772,1
1772464749237,62.484,1
1772464749300,53.529,1
1772464749354,52.512,1
1772464749407,53.254,1
1772464749461,54.637,1
1772464749517,53.629,1
1772464749571,52.010,1
1772464749625,53.087,1
1772464749678,52.328,1
1772464749731,51.898,1
1772464749784,53.021,1
1772464749838,53.692,1
1772464749892,57.087,1
1772464749950,54.909,1
1772464750005,52.398,1
1772464750058,53.266,1
1772464750112,53.414,1
1772464750166,53.937,1
1772464750220,54.259,1
